,description
259,Jim Beam “Pre-Prohibition Style” Rye - I complain a lot on this blog about whisky marketing. I have a short fuse when it comes to whisky companies claiming authenticity when no effort has been made to actually produce something authentic. It’s not that I have some kind of pseudo-Millennial disdain for inauthenticity; if you’re making an industrial product and you are clear about that I have no qualms. It’s when you take the same boring old mass-produced minimum-aged factory swill raise the proof slightly and release it as “Pre Prohibition Style” with lots of marketing verbiage about “rediscovering” old recipes and “reformulating” for “bygone” blah blah blah that I have a problem. This is just Beam straight rye (likely at 4 years and a day old) at 45% ABV. Maybe – MAYBE – if they had anything whatsoever to say about what their “oldest recipe” entails or why it has anything to do with pre-Prohibition distillation or really any information at all about why this is different from the 40% ABV version that this is replacing I MIGHT have been a little less cynical.That’s it. That’s the review.Nose Grassy Beam character with a healthy dose of green apple freshly-mown grass and fresh corn kernels. The dominant note on the aroma is tart that green apple almost turning into lime juice. There is very little of the expected rye profile no cinnamon no clove and only a hint of anise. Still there are no unpleasant notes and no “paint thinner” or chemical smells.Palate Syrupy body. Hot with an unpleasant amount of burn for a 90 proof whiskey. Burnt caramel caramel apple unroasted coffee beans and (at last) a swath of bakery spices. Now it tastes like a rye although the youthful grassy notes are still evident.Finish Medium-short. Tart again with more apple and now candy-corn. This fades quickly leaving apple skins slightly bitter barrel char and a touch of paint thinner.With Water Several drops of water make this smell even more like Beam More grass. The water also adds a green banana / unripe coconut note to both the aroma and palate. The palate and finish also acquire a weird “fruit” punch or bubblegum flavor. Water is not necessary with this one but won’t ruin anything either.Overall This is really not bad for $16 a bottle. If you forgive the young grassy notes the faintness of the rye spices on the aroma and the lackluster and kind-of unpleasant finish you could do WAY worse for under $20 a bottle. I still prefer my old standbys Rittenhouse 100 and Hochstadter’s but those do cost more…I chose a “Not Recommended” rating but really what I mean is “Recommended only if you really can’t spend an extra $4 on Rittenhouse 100”. Note that when mixed into a cocktail the low price does shine through If you’re buying strictly for cocktails don’t skimp this much.
260,Jim Beam Original (White Label) - Talk about a review long-overdue. It’s easy when one gets swept up into the current of whisky fandom to ignore the roots of the industry. It’s easy to assume that anything priced at the bottom of the market has to be inferior swill. I’ve certainly contributed my fair share to this trope. Sometimes it’s even true. Regardless every whisky deserves to be considered on its own merits and not on its perception. To that end I give you Jim Beam.A surprise to some new whisky lovers Beam products are all over the place. Many people drinking Knob Creek or Booker’s Baker’s or Basil Hayden’s bourbon because of the higher price point and higher street cred don’t realize they’re drinking Jim Beam just older or from a different part of the warehouse.Jim Beam sold more than 11 million gallons of bourbon in 2017 and accounts for around 21% of the US market share. Those big numbers are largely due to brand loyalty and product placement and promotion in bars. I have to remind myself that most people do not read whisky blogs to expose themselves to new products… most people pick a brand and stick to it. So is Beam slop for the uneducated or is it actually worth drinking?The bourbon’s basic recipe is a low-rye mash bill of 77% corn 13% rye and 10% malted barley. It’s aged for 4 years (probably exactly 4 years to the day considering the volume that the company puts out) allowing it to be called “Straight Bourbon” without an age statement on the bottle. If it were aged 3 years and 364 days then by law it would have to specify a “3 year” age statement on the label. It’s bottled at 40% ABV the legal minimum and retails for bottom-dollar around $10 – $15 a bottle.Nose Very sweet with a pronounced bubble gum / fruit punch / tutti-frutti aroma. Neon maraschino cherries. Not shy a good concentration on the nose but not a lot of dimension (oak corn charcoal nothin’). This imbalance only increases with a rest in the glass showing even more fruit punch.Palate Medium bodied. Mild tongue burn. A lot of the aroma notes are present here – the fruit punch in particular. There is a layer of slight nuttiness (like peanut skins without the peanuts) and a hint of charcoal. Very little oak and almost no caramelized sugars.Finish Short. Some marshmallow and (of course) fruit punch. No tannins. Fades quickly with only a hint of bitterness. Forgettable.With Water A few drops of water change nothing on the aroma but they add a “white sugar” note and associated sweetness on the palate. The finish is a little livelier with some nuttiness added. Take or leave water as you like.Overall Look it’s not bad. There I said it. It’s just not as good as “The world’s No. 1 bourbon” as the label claims ought to be… but then the “World” doesn’t pick its “No. 1” based solely on taste. There are so many flavors that I associate with “bourbon” as a category – charcoal burnt sugar caramel heavy oaky sweetness etc. and none of those are in evidence with Jim Beam. It has a prominent fruity sweetness (which verges on the “fake” corn syrupy candy notes found in some cheap whiskies) and it indeed has 40% alcohol in it by volume. That’s about it. Tasting blind I’m not certain I’d be able to guess that it was even bourbon.I’ve noticed in the past that some bourbons carry that distinctive “fruit punch / bubble gum” note. Among them Filibuster Boondoggler Smooth Ambler Old Scout Basil Hayden’s (THAT makes sense) McAfee’s Benchmark and Rebel Yell. I’m not sure where it comes from but it usually (not always) appears at the lower end of the bourbon price range.To orient myself I poured a small glass of Old Bardstown ($20) to compare against the Beam. The sweetness and fruitiness of the Beam liquid caused the Bardstown to seem herbal and vegetal in comparison but the presence of oak on the palate reminded me of what I expect from a whiskey that spends 4 years in new oak barrels. I would trade two bottles of Beam for one bottle of Old Bardstown any day of the week.If you drink Beam because of the price and upgrading to a $20 bottle sounds like it would be outside of your budget I have two things to say One good for you for recognizing and living inside of your means. Most people can’t or aren’t willing to do that. Two you could certainly do worse for $10 a fifth and Beam does not taste like paint thinner. Because of that I’m going to stick a very (very) hesitant Recommended rating on this. If you can handle the extra ten bucks though you owe it to yourself to try some Old Bardstown Very Old Barton or any other bourbon in that price range.
261,John Barr Reserve Blended Scotch - The whisky boom has had an interesting effect on dead and delinquent brands. Soaring whisky interest and demand has led to old defunct abandoned or simply languishing brand names and trademarks to be reinvigorated or downright resurrected in an effort to grasp at some of that overt demand. This has lead to extinct American whisky brands like Bomberger’s Declaration and Michter’s to be re-launched (although under different ownership and without access to the original distillery). It’s also led to the rebuilding and relaunching of closed Scottish distilleries such as the recently-announced Brora Port Ellen and Rosebank projects. Other brands once relegated to the dustbin of consumer apathy are being dusted off and re-launched with much fanfare. John Barr once a DCL (Diageo) underperformer and now a Whyte and Mackay label is one of those.Created in 1978 to compensate for a legal skirmish that took Johnnie Walker Red Label off of UK store shelves it failed to recapture even a portion of that lost market share. The label was quickly sold off during the Guinness acquisition of DCL that created Diageo in 1986 to Whyte & Mackay (via Invergordon Distillers) of Dalmore fame. Whyte & Mackay master blender and celebrity whisky personality Richard Paterson re-formulated the recipe likely a necessity since the blend now needed to be composed of whiskies available to W&M instead of the full Diageo stable. In early 2017 the brand was re-launched with new packaging under two expressions John Barr Finest and a premium blend containing older malt and a smokier profile called John Barr Reserve. These are still intended to compete directly against Johnnie Walker Red Label and Black Label respectively.This review was suggested by a reader. I apologize in advance if I didn’t like this as much as you did… if I had not noticed the specific off-note on the finish I probably would have appreciated the whisky a lot more considering its excellent price-point.NOTE! This review is of the “old label” (pictured). I can’t find solid information online about whether the 2017 relaunch and new labeling is accompanied by a different blend recipe or not. If anyone has tried the old and new labels side-by-side I’d be interested to hear your impressions!Nose Very slight peat (more fungal than smoky) over a mildly sweet vanilla malt. Faint rock candy and a touch of caramel. Not obviously grainy.Palate Mildly syrupy body. Sweet and malt-forward with loads of baked goods (scones) caramel and a hint of black pepper. On the tongue the grain elements are revealed with a twinge of young grain that comes across as glue (rubber cement).Finish An ugly twist of industrial solvent (acetone) ruins an otherwise middling experience. The whole of the finish is swallowed up in shudder-inducing paint thinner and charcoal. Blech.With Water A few drops of water muddle the aroma releasing some nondescript fruit notes but confusing the rest. No real change on the palate or finish. I would avoid the water with this one. (Also avoid ice – it does NOT help.)Overall Apologies to the reader who suggested this one. It has a mild promisingly inoffensive aroma and a middling palate marred by a very common (for this price-point) grain-whisky-induced glue (or vodka-like) note. The whole thing goes down the proverbial tubes on the finish which is entirely overwhelmed by raw grain alcohol notes and acetone. One really shouldn’t expect very much from a $23 scotch even one blended by legendary blender Richard Paterson but a side-by-side comparison with Bank Note (which has an actual age statement) leaves no doubt about what can be achieved even at this market segment of razor-thin margins. Maybe the $50+ “Blue Label” from John Barr is better but I cannot in conscience recommend this one when Bank Note and even Johnnie Walker Black Label exist.
262,Johnnie Walker Black Label (12 year) Blended Scotch - I’ve always (since I began drinking scotch) had a lively lack of respect for the Johnnie Walker line of blended scotch from Diageo. It represents to me the wrong end of the spectrum between artisanal hand-crafted small-batch spirits and factory mass-produced lowest-bidder penny-squeezing corporate swill. I personally don’t believe that quality and greed can coexist in the same producer whether that producer is making whisky wine cheese or furniture. Diageo has publicly stated that since most of its significant global revenue comes from blended whisky like Johnnie Walker it would happily close down its high-cost low-margin single malt bottlings and focus entirely on dumping vats of malt into vats of grain for blends if it could. That does not sound (to me) like a company interested in providing a high-quality product to a discerning consumer.That said this blog is meant for evaluating the taste (not just the politics) of whisky so I thought it high time I give a thoughtful look at the quintessential Johnnie Walker whisky the Black Label. This is a standard blend of some unknown percentage of malt and grain whiskies all at least 12 years old and represents something like 130 million liters of annual sales (that’s an old figure from 2005 and includes all Johnnie Walker blends – this info is surprisingly hard to find online). Suffice it to say they make a LOT of the stuff and it sells at a fantastic rate worldwide. The component malts of Johnnie Walker are (along with 36 other malts and grains at varying percentages) Cardhu Talisker and Lagavulin. Doubtless a little bit of every Diageo-owned malt (except Oban) is included. It’s a safe bet that the majority of the malt here is Cardhu 12-year although some marketing material claims that “the heart” is Talisker. After tasting it I doubt that.I don’t usually remark on color but I noticed that JW Black has an unnatural red-gold color. It is most certainly heavily colored with caramel coloring.Nose A light Highland peachiness (Dalwhinnie?). Pretty floral. Light and inoffensive. Totally unable to detect any peat. Deeper in round and mildly buttery. Nary a hint of paint thinner!Palate Medium-bodied. Mild tongue burn – I guess that would be called ‘smooth’. Vanilla cake bread crumbs a slight hint of smouldering match head and a few seconds later an acidic wave of vodka-esque off notes.Finish Slightly acrid like a smear of coal tar on top of a buttered scone. Fading out with some almond paste and only a little bitter woodiness. On the short side.With Water Elevated florals and a hint of peach pit on the nose. Shortbread and crumb cake on the slightly thinner palate. A nice woody marshmallow and some caramel on the finish. This is quite improved by the addition of a splash of water.Overall Ok fine it’s really not that bad. It has some nice floral elements in the nose a straightforward flavor and not too much bitterness on the finish. That said it has two major downsides First it was clearly blended to be bland and uninteresting (the industry euphemism is ‘consistent’). There might be peated malt in here but it’s so diluted that it just comes across like a fine layer of stale ash. The florals would be interesting if they weren’t overpowered by a wash of cereally grain. Second the grain component is obvious and not harmoniously integrated with the malts. It provides some nice heft and body on the palate and a bit of creaminess but its relative youth – although 12 isn’t too bad – and lack of quality can be tasted in the vodka notes on the tongue. Frankly it would be hard for this not to taste mass-produced.For $30 you could certainly do worse but I feel that for a little more money one could enjoy a wide variety of single-malts that shine in their own ways rather than continuously pour cash into the Diageo blend machine and be satisfied with a muddy uninteresting jumble of substandard malt barrels and bottom-dollar grain. (That’s hyperbole the bottom-dollar grain goes in the Red Label). Here’s an idea buy a bottle of Dalwhinnie 15 or Cardhu 12 for the florals a bottle of Cragganmore 12 for the malty sweetness and a bottle of Caol Ila 12 for the punch of smoke and blend yourself a personalized (and far superior) Black Label blended malt.
263,Johnnie Walker Green Label (15-year) - When writing about scotch whisky in any capacity Johnny Walker is invariably an elephant in the room. You have Adherents to the Faith that will swear that Johnnie is all the scotch they need and anything else is just noise. You also have the Nouveau Aficionado who will swear up and down that the vile blended villain has never passed his lips and never will. Certainly one of the most-recognized brands of scotch in the world owned by one of the largest whisky producers in the world and the world’s best-selling scotch brand by almost a factor of 3 (17.6m vs 6.13m cases of Ballantine’s in 2015) Johnnie is no stranger to anyone with passing familiarity with whisky.Ask any modern whisky lover about Walker and you’ll get a reaction similar to the one you’d get in a San Francisco speakeasy if you ask for Bud Light. Big is not cool these days and mass-produced means inauthentic by hipster definition. I can’t pretend to be immune to this way of thinking myself with all my talk of ‘craft’ and the joys of single barrels and tiny producers. In an effort to keep my mind open I’ve reviewed Black Label Platinum Label and now Green Label. (No Red Label… there are limits.)Green Label unlike all of the other Walkers is actually a blended malt composed of (unsubstantiated) 27 different single malts all at least 15 years (or more likely exactly 15 years) of age. The brand was unceremoniously removed from the market in 2012 to make room for Gold and Platinum and has only recently returned to the lineup after a four-year absence. Diageo claims that the recipe has not been altered during this time. Of those 27 malts the recipe reportedly makes use of some key components Caol Ila (from Islay) Talisker (from Skye) Cragganmore (from Speyside) and Linkwood (also Speyside). All – of course – owned by Diageo. The blended (or “vatted”) malt is bottled at 43% ABV and retails for around $45 to $55. My bottle was purchased in 2017 after the renaissance of the label.Update There’s now a Travel Retail (duty free) exclusive version of this that has a different malt profile and more peat Johnnie Walker Island Green.Nose Light and fruity with white peach honey fresh malty grains and graham cracker. Some floral notes are present but hard to pin down – probably from the peated components. Let’s call it gorse because that makes it sound like I know what I’m talking about.Palate Soft and slightly syrupy on the palate. Little tongue burn. Malty cereal notes dominate with a tinge of oat bran. Some of the notes from the aroma are present (honey particularly) but not much fruit. The honey is multi-dimensional the rest is not.Finish Short. Slightly bitter barrel char initially which is joined by vague nougaty nuttiness. Fades quickly with a whimper.With Water A few drops of water release a splash of green apple and unripe banana. The palate is a little spicier and more vibrant as is the finish. I highly recommend a few sparse drops of water with this one.Overall Perspective is an odd thing. Had I just cracked open a bottle of single malt from some barely-known “craft” distillery after getting a good deal on the bottle I would have probably rejoiced at having found a hidden gem with a polished and accomplished (if a little boring) presentation and a fabulous price point. Since this is the ubiquitous Johnnie Walker however my brain says “eh it’s just OK.” Brain be damned this is a very drinkable very available and very well-priced dram. It’s all-malt and it has an age statement to boot. Being picky I have to point out that the palate doesn’t offer much of a surprise the finish is forgettable and the peated components are nearly invisible… but we’re talking about 15 year-old malt for under $50 here.Bottom line If you’re going to drop money on a Walker get this one. Everything “below” Green has clear flaws and everything “above” Green is overpriced. What would Goldilocks do?
264,Johnnie Walker Island Green - Since last week I reviewed a sample of Old Soul Mississippi Bourbon from a generous reader I thought I’d follow that up with a second sample that the aforementioned Generous Reader included in the package. Johnnie Walker Island Green – which should not be confused with Johnnie Walker Green Label – is a travel-retail variant of the Johnnie Walker Green Label bottling. The “Island” here refers to the Scottish isle of Islay not some tropical island. Islay is essentially the opposite of tropical. Like the Green Label this “Green” includes only single malts making it a blended malt scotch whisky instead of just a blended scotch whisky like most Johnnie Walker labels. Those malts are of course all owned by Diageo Caol Ila Clynelish Glenkinchie and Cardhu. Caol Ila makes up the lion’s share thus weighting Island Green more towards Islay peat. This lineup makes the vatting significantly different from the standard Green Label since the only overlap in the recipe is Caol Ila.The vatting is bottled in a 1-liter bottle at an acceptable 43% ABV and probably includes adjusted coloring and is likely chill-filtered. Unlike Green Label this has no age statement so expect the malts included to be younger than 15 years.Island Green was initially intended for Travel Retail exclusivity but since there’s not a lot of international travel going on these days some online outlets are carrying it. Good luck finding it in the States though; you’ll probably have to order a bottle from the UK if you aren’t planning any international travel.I should note that I usually have trouble enjoying blended scotches (even blended malts) that contain peated elements. I find that when you “dilute” peated malts with non-peated malts the smoke elements that remain prominent are the less-subtle cigarette smoke / ashy notes that I’m not crazy about and you lose a lot of the subtlety that make peated single malts so complex and intriguing. I’ve never been a fan of Johnnie Black or Double Black for this reason.Nose Mild peat – dark wet soil – with only a touch of smolder. Hot coals. Mildly sweet malt with sooty cereals and only a very little bit of a floral note (rosewater maybe). Delicate but unmistakably peat-forward.Palate Medium body. First impression is of vanilla cream soda and then a wave of peat crashes turning smoky and earthy. Extremely mild tongue burn.Finish Medium-long. A twinge of honey sets in adding much-needed sweetness and the charcoal notes turn slightly bitter. Fades slowly without evolving.With Water A few drops of water result in a spike of tart aromas (tropical fruit) while taming the peat. These carry through to the finish. This changes a lot – I suggest trying it first without the water and then adding a little to see how it changes for you.Overall A very successful peated blend(ed malt). Usually blends with peat elements go one of two ways Horribly bitter and acrid or exclusively peat-dominated. Island Green manages to straddle the line with enough peat character to remain solidly in the “peated” category while retaining a good balance of malty character and (albeit slight) Highland notes. Quite drinkable.
265,Johnnie Walker Platinum Label (18-year) Blended Scotch - Diageo’s Johnnie Walker range added a Platinum Label to its pantheon of blended scotches in 2013 kicking against the goad of the NAS trend by including an 18 year-old age statement on the label. The blend contains whisky from 20 to 25 distilleries (likely most of them owned by Diageo) and is advertised as having a predominantly Speyside character with some hints of Islay peat. The cynics among you will notice that Diageo removed an 18 year-old product from the market (the old Gold Label) replacing THAT with an NAS blend and then released a more expensive-sounding Platinum bottling at the same age with a higher price tag. Crafty Diageo. Crafty. They are however different blends with different goals. (Gold 18 was sweet and fruity Platinum is dryer more perfumed and smokier.) Apparently Diageo expects you to give Platinum as a gift since it’s more “special” than Black Green or Gold and not stratospheric in price like Blue. I don’t know about you but I’ve never received an $80 bottle of whisky as a gift (except from my parents who know to ask me what I want first!) but I have no doubt that Diageo would like you to start doling out Platinum to your friends family and colleagues.As usual with Diageo and the whisky industry at large there’s plenty little information about the actual makeup of Platinum. It’s bottled at a watery smooth 80 proof (40% ABV) the legal minimum and consists of a blend of grain and malt scotch whiskies that are each at least 18 years of age. That’s… yep that’s it. It’s probably got a bunch of Caol Ila in it some Clynelish and… your guess is as good as mine.Nose Gently perfumed apple blossoms white tea ginger juicy pears and an undercurrent of fresh banana. This smells more like a carefully-crafted perfume than a scotch whisky. The effect is light with no nose tickle and only very faint oak or malt notes. One could be forgiven for thinking this was a pear eau de vie by the aroma alone. After a rest in the glass most of those volatile aromas escape leaving a heavy banana custard note.Palate Medium bodied almost syrupy. Slight tongue burn. A bit of bitter barrel char arrives upfront which is off-putting. The banana reasserts itself along with assorted fruit notes. The oaky bitterness persists. There are some flavors of bakery sweets – banana cream pie comes to mind as do buttered scones. The whole is marred by that weird tannic charry bitter note however.Finish Short. Charcoal apple skins and a fading nutty bitterness like scorched almonds. There is a marzipan note on the tail end of the finish.With Water Several drops of water reawaken the volatile esters in the aroma including the flowers and fruits. The palate becomes somewhat sweeter – like vanilla crème brûlée – but the bitter note remains. There is more sparkle on the finish which seems a little longer. This clearly benefits from the addition of a little water. (But not too much at 40% ABV!) Overall I expected a bit more surface-level quality from a premium Diageo product – usually their whiskies (especially those with age statements) are more polished than this and simply lack depth or complexity. Instead this tastes like the kind of leftover barrel of no-name malt that the independent bottlers pass over and which ends up in a grocery store label bottling. In fact the grain whisky in this blend is (I suspect) what elevates it giving it that syrupy body and some of the lighter fruit-and-flowers notes. It wasn’t until after the fact (I taste whiskies before reading about them when possible) that I realized all that bitter charcoal was actually supposed to be smoky Islay peat which appears to have been lost in translation. I will admit that the whisky has a delicate aroma with an excellent perfumed balance of fruits and flowers and I could certainly pass the time just smelling this whisky. I just didn’t enjoy anything that came after.I would be disappointed to taste this after laying down $80 or more for a bottle. If you’re curious about the Johnnie Walker range try it at a bar.
266,Johnnie Walker Rye Cask Finish (10 year) - Wow I haven’t reviewed a Johnnie Walker since 2012. Although it’s arguably the king of blended scotch the entire brand tends to get ignored by modern whisky enthusiasts looking for authenticity and craftsmanship in a marketplace struggling with the triplet specters of demand for quality demand for transparency and demand for volume. That’s why I was so surprised to taste (and enjoy) the recently-released Rye Cask Finish in the new Johnnie Walker Select Casks line from Diageo; three refreshing things from an unexpected source…and all from Diageo the undisputed king of the mainstream; the kind of place you imagine the phrase “surplus to requirements” and the word “streamlining” coming up a lot.The first in the new Select Casks line Rye Cask Finish is a blended scotch with a heart of Cardhu single malt aged in first-fill American oak casks for at least 10 years and then finished in ex-rye whiskey casks. The result is bottled at 46% ABV. Striking a triumphant balance between massive-scale industrial whisky and small-scale craft mentality Rye Cask Finish is available for only $45 retail. I was able to find it recently at Costco for the phenomenal price of $30!Nose Wakes up a little hot – a few minutes in the glass settle the alcohol and allow for a deeper nosing. A nice round grain-forward profile including breakfast cereal and toasted whole grain bread coconut shavings and molasses. There’s a lot more oaky sweetness (as opposed to malty sweetness) than one usually finds in a blended scotch.Palate Soft and syrupy. Moderate tongue burn which finally recedes into a heavy coconut (like Redbreast 12) oiliness and spicy cinnamon and clove. Finish Medium-long. Drying with some oaky tannins but a larger emphasis on caramel and – dare I say it? Pumpkin spice latte. Fades with a black coffee-like bitterness the one disappointment.With Water Aroma seems unchanged by a few drops of water. The effect on the palate is calmer and brings a touch more sweetness. Water is optional with this one but with the “roughness” of the alcohol bite you might consider proofing it down slightly.Overall An interesting and successful blending of the “sweet and syrupy” effect of Scottish grain whisky with the robust flavor of malt whisky and the spicy/oaky character of those two quintessential American whiskeys bourbon and rye. While most scotch is aged in ex-bourbon casks the first-fill casks chosen for this blend are very prominent in the final product and deliver a wallop of coconut. The finishing in rye casks was equally successful with a sparkling spiciness on the tongue which integrates nicely with the other components. The only down marks come from the splintered finish which starts out promising “pumpkin spice latte” and then goes full “bitter black coffee”. At $45 a reasonable choice. At $30 a steal and a Must Try.
267,Johnny Drum Private Stock Bourbon - Here we have yet another sourced bourbon this time from Kentucky Bourbon Distillers (also known as Willett). Johnny Drum is sold in three expressions an entry-level Green Label ($20) a Black Label with and without an age-statement (12 years) and this Private Stock bottling that lost its 15-year age statement in a rebrand years ago. The usual vague assurances on the Internet that it “still contains some old whisky” are not even backed up by the tried-and-true “a dude at the distillery told me” type of hearsay. It’s probably older than 12 years old (which is what the cheaper Black Label used to have on the label). Probably.As much as I respect the Kulsveen family and the products that come out of Willett (including their new distillate which is awesome) I have a hard time with a sourced bourbon that not only loses its age statements but also can’t be bothered to reveal a mash bill online. All I know is that it’s 101 proof Kentucky Straight Bourbon made… somewhere. Rye percentage? Wheat? No idea.Nose Sappy with a lot of corn syrup elements. Hint of cherry. Deeper in the glass there are some molasses and caramelized sugar notes. Overall the aroma is shy and dry.Palate Medium bodied. The initial wave of cherry juice is followed by an appreciable tongue burn. After there are barrel tannins and a deep roasted hazelnut flavor. Still dry but with more depth than was suggested by the nose. Finish Medium-long. Cherry-flecked corn syrup (cheap pancake syrup) with very minimal charcoal bitterness. Fades without evolving.With Water Several drops of water bring a tart cherry top note to the aroma and brings out a bark-y root-beer note on the palate. Worth experimenting with a little water on this one. And for what it’s worth it makes a perfectly passable Old Fashioned.Overall Other than that surprising hazelnut note in the middle of the palate there isn’t much to be excited about here. The nose is reticent and the flavor profile – while well-balanced and with good depth – is dry and lacks robustness. For the price I’d far rather have Eagle Rare 10 which comes with an age statement and is rounder with more depth of flavor and more sweetness. Johnny Drum is a decent middle-of-the-road bourbon with an overly-optimistic price tag.
268,Jura Superstition - Ahh the NAS debate again. Jura Superstition was one of the first wave of NAS malts whiskies created by combining a single distillery’s output from several different ages without revealing the ages on the bottle. Along with Ardbeg Uigeadail and Aberlour A’Bunadh Superstition stands for the original intention of the category to expand the ability of master blenders to release malts that showcase what’s best about a brand by allowing them to use young malt for intensity and fresh fruit and floral notes and older malt for balance and depth. With an NAS expression a distillery doesn’t have to try to sell something that has a price befitting its average age of say 15 years with a label that (by law) only reveals the youngest malt in the vatting – perhaps 5 years. It’s a laudable goal but fraught with potential for abuse. Any old profit-driven distillery (cough) with an eye towards gouging the current spike in whisky popularity could release an $80 bottling of primarily young malt without any kind of legal backlash. In fact when Compass Box recently tried to flip the system and release an NAS blend with the age of all of the components prominently displayed it was slapped with threats of litigation. The NAS market is certainly one where the buyer must beware.Superstition is Jura’s house malt but heavily peated (although the bottle says “lightly” peated I would lump it in with fully peated malts like Laphroaig and Talisker) and aged in ex-bourbon casks. It’s quite reasonably priced at $50 – $60 which is the new $40 didn’t you know?Nose Strong iodine-flecked peat. Briny and heavily suggestive of the sea (not smoke). Reminds me of expanses of brown seaweed slowly aging (rotting) on a sea spray-buffeted beach. After a rest in the glass one can pick out notes of sandalwood vanilla and caramel although they are faint.Palate Moderately creamy body. Some tongue burn is followed by salty peat with notes of black pepper. A light malt sweetness pervades but is just sweet enough to balance the salt/peat.Finish Of medium length. More of the same notes (salty peat). A hint of citrus creeps in as the peat fades along with sweet Key lime. Pleasant.With Water A few drops of water temper the peat releasing notes of salted caramel and vanilla. The same notes appear on the tongue improving the overall balance of the malt (unless you just love seaweed).Overall First I highly recommend water with this. Water turns a one-dimensional oceanic peat show into a well-balanced orchestra of peat and oak and caramelized malt. Quite tasty and more accessible (especially with water) than other peated standards like Laphroaig 10 and the pretty similar Talisker 10. At only a $10 premium over younger (unpeated) sibling Jura 10 it’s a no-brainer. If you’ve never had Jura or were worried about the possibility of an NAS scam this is a solid Must Try.
269,Kaiyō Japanese Mizunara Oak - Oof. This one is painful. I’m not a big consumer of Japanese whisky mostly because the international fervor and subsequent pricing mania for Japanese whisky struck before I got into it. If I wasn’t buying Yamazaki and Nikka at $40 I’m definitely not buying them above $100. I do have a soft spot for the now-discontinued Hibiki 12 year (and the 17 year which is even better) but in general my brief forays into Japanese whisky haven’t been very exciting.So when my favorite retailer David Driscoll sung the praises of a new Japanese whisky to hit the US market with a trick to keep prices in check (yes $70 is “in check” for Japanese whisky) I was sold. I was doubly sold when I learned that the whisky had been aged in that most legendary of oak species Japanese Mizunara Oak.First the specs Kaiyō is a “negotiant” (independent bottler) from Hong Kong that purchases barrels of aged or unaged whisky from Japanese producers and matures and bottles them under the Kaiyō label much like Gordon & MacPhail or Alexander Murray. In this case the barrels are single malt whisky from an unnamed Japanese distillery that have been “teaspooned” with whisky from another distillery. In other words a technical “blend”. This is a fairly standard industry practice in Scotland and elsewhere and is done as a legal precaution to protect the name (and reputation) of the original distiller. This is why the Kaiyō bottle label says “Whisky” not “Single Malt Whisky”.There’s no age information available. All we know is that the whisky was aged in Mizunara oak barrels from Ariake and then finished maturation for “up to 3 months” on a boat somewhere like those Jefferson “Ocean Aged” boondoggles. The fact that the whisky was not aged 100% of the time in Japan is the reason “Japanese whisky” doesn’t appear on the label. This plus the teaspooning is what purportedly keeps the price low relatively speaking.The Internet has a lot of fascinating conspiracy theories about the origins of Kaiyō (this is a particularly well-researched one which also suggests the whisky is aged for 3 years in Mizunara before its ocean voyage). The brand has a future as well a distillery building is in the works. I would be more interested in digging into this kind of mystery if I liked the whisky… at all.Kaiyō Mizunara Oak is not chill-filtered and bottled at 43% ABV. There is also a cask-strength version.Nose Rotting wood wet moss engine grease burnt caramel without the sweetness. A rest in the glass does not improve the situation. There isn’t even the barest hint of sandalwood but if you’re a fan of noxious incense that smells like burning rubber then yes this probably smells like incense.Palate Medium body. Mild tongue burn (hotter than expected for 43% ABV). This tastes very much like bottom-shelf cheap blended Scotch whisky with a top note of burning tires and acetone.Finish Unmercifully long. The primary flavor is vodka the cheap kind. This is awful.With Water A few drops of water amp up the nose tickle but fix nothing. A rest in the glass however adds a perfumed floral note that is welcome but cannot by itself save this whisky. If you are cursed with a bottle of this and cannot give it away I suggest waiting until you are good and drunk already adding a small splash of water to a glass letting it sit for 5 to 10 minutes and then attempting to enjoy it.Overall Oh God I wanted to like this I really did. I gave it several tastings spread across several weeks in the hope that it would grow on me. It didn’t. It’s vile. It bears no resemblance to my (admittedly distant) memory of Mizunara oak. It contains no notes that even come close to sandalwood. It tastes exactly like I would expect a grocery-store label of $10/liter blended scotch to taste if it had been contaminated by motor oil. Without a doubt the worst use of $70 ever. I finally managed to rid myself of the bottle by hand-blending it with some leftover peated single malt scotch which covered up some of the worst offenses.I sincerely hope David never sees this review. Normally his tastes and mine align. Perhaps I got a bad bottle. Perhaps some quirk of the whisky made it “turn” while sitting on my shelf before I opened it. Whatever it is these are the risks we take when we buy whisky. Thank goodness I can count the number of truly “bad” bottles I’ve bought on one hand.
