,id,description
69,"Boutique-y Whisky: Irish Single Malt #1, Batch 4 ","[': Piercingly tart, with a distinct pine sap note. Lemon peel, juniper, fresh berries, pineapple, granny smith apples, and more that I just can’t pick up. It’s just… it’s a lot.', ': Thin body. Malt sweetness up front, which is ambushed by a tart kiwi or maybe ', ': Medium-short. Oh man, that kiwi note is back, and it’s delicious. It fades quickly, replaced by (sorry) spent bubblegum, and apple cider. This is soon replaced by a ghost of menthol.', ': A few drops of water amp up the kiwi note – YES! – and add a layer of sweet vanilla. The palate has a silkier texture, and seems a bit more coherent. Finish unchanged. Definitely give it a go without water and then see how it changes when you add just a little.', ': Eclectic doesn’t begin to describe it. A fascinating (and lovely) aroma that spans pine sap to fresh berries is followed by an equally high-contrast set of flavors including that elusive and delectable kiwi notes that I’ve found in ']"
70,Boutique-y Whisky: Speyside #3 (8 year) Batch 1 ,"[': Aroma is spicy! Star anise, cardamom, and a touch of spiced apple cider. A rest in the glass adds a layer of gooey caramel, ginger tea, and a touch of light brown sugar… reminds me of ‘blondie’ brownies.', ': Thin body, with a robust tongue burn. Ouchies. 50% ABV is well represented. Already some mouth-drying tannins, dark cocoa, coffee grounds, burnt caramel syrup, and a dose of dry oak.', ': On the long side. Still spicy. Café latte, scalded milk, nutty in a slightly bitter way – bitter almonds. Pretty long and lingering.', ': This dram seems like it can handle some water. Aroma has fewer spices, more nuts. Palate is much softer even with just a few drops. Chewy toffee. Otherwise the same.', ': Intriguing – it tastes like a candied café latte, and the bitterness seems to come from that almost-burnt caramel rather than from oak. The bitterness is well-distributed and well-balanced so it doesn’t distract, although I found the whole experience is a little too dry. Still, it’s shockingly good at 8 years of age.']"
71,Boutique-y Whisky: Teaninich (11 year) Batch 2 ,"[': Awesome green pear, assorted florals, honeysuckle etc. Someone in the Twitter tasting said lemonade. Yup. Candied pear drops.', ': A little banana up front, with a nice even tongue burn, not too hot at all. Just lets you know it’s there. Thin body, but the flavor turns syrup-like quickly. Sweet and light, fruit-forward but with a background of clean cereal grains. Pleasant. A rest in the glass adds more banana (banana cream pie?), and the body actually firms up, becoming silky.', ': Creamy, with vanilla and fresh dairy cream notes. A little kiwi maybe? Exits quickly but with no off-flavors and with minimal bitterness.', ': A few drops bring out a lot more cereal grains but they’re a little musty, like wet hay. The water kills some of the fruit and thins the palate, too. It does add a lot of sweetness – sugar cubes! – to the finish, which is fun. Water optional.', ': Fresh and crisp. This would be forgettable at 40% ABV, but here it’s nicely present and active. By color and flavor it’s clear this is from ex-bourbon, likely a refill cask. It shows the raw expression of Teaninich, which is cereal-driven but adorned with plenty of fresh vibrant green fruit. A fun dram, and a great way to experience Teaninich if you haven’t before.']"
72,Boutique-y Whisky: Three Ships (6 year) Batch 1 ,"[': Cured leather, dark roast coffee beans, dark cocoa nibs. Balsamic vinegar that’s so old the fruit has left the building and it has to be scraped out with a putty knife. A rest in the glass turns those cocoa nibs into honest-to-God dark chocolate. Dry, but deep.', ': Thick, syrupy body. The same notes from the aroma, but OH MY GOD MY TONGUE IS ON FIRE. OK… Ok, I’m Ok. I can’t taste anything, but I’m Ok. Did I say the whisky is a little hot? More balsamico, more chocolate. Maybe it’s the pain-induced delirium, but this tastes just like Aztec hot chocolate with chili in it.', ': Long. Dusty cocoa continues through the finish. This stuff is the film noir version of single malt. Fades ultra-slowly, with the chocolate notes slowly being replaced by mint. No bitterness.', ': More than a few drops of water somehow make the aroma drier. Dusty cocoa nibs, Egyptian mummies, etc. The palate is mercifully easier to handle (could be the water, could be my dead taste buds from earlier). I highly recommend the water, not because it adds any flavors (it doesn’t) but because it tames the tongue burn, just a little.', ': Wowza. So, Ok, here you’re paying top dollar for something you just can’t get anywhere else. South African whisky that isn’t available in the US, with a PX sherry finish, at cask strength. That’s worth whatever the exchange rate currently sets it at. The chocolate notes are unreal, and they are perfectly – I mean PERFECTLY – balanced with the remnants of super-old PX sherry left in this cask. The 53.7% ABV is serious business, and is so concentrated I feel like I should be drinking it from an eyedropper instead of a Glencairn. I’m going to call this “Must Try”, which is ridiculous, because good freaking luck, but it really is an experience if you see the opportunity.']"
73,Boutique-y Whisky: Tomatin (11 year) Batch 4 ,"[': Huh. Interesting. Green banana, odd florals (hops?), coconut water, green tomatoes (damnit, TBWC label!), and a dusting of sulfur that does not quite rise to the level of “rotten eggs”. An oddball, and complex.', ': Medium bodied. Ample tongue burn, as expected, which resolves into raw cane sugar, pineapple, coconut, and… I have no idea. Beeswax? No…Tomato compote? No… Sourdough? Maybe.', ': Medium-short. Now there’s a sulfury note that is almost meaty like turkey jerky, which has replaced all of the tropical fruit notes and grassiness. Fades quickly, alas. So damn weird.', ': Several drops of water add sweetness in the form of brown sugar and vanilla. Maybe milk chocolate too? Cocoa nibs at least. Water is interesting here. Try it first neat, and then add a little water to see how it changes.', ': Whaaa… this was one of the hardest tastings notes to write in recent memory. The flavors and aromas are all over the place, and don’t seem to fit neatly into existing scotch categories. It sounds like it should taste tropical or rummy from my choice of fruit descriptors, but that’s totally not the overall impression. It’s as if someone took the makings for a frozen daiquiri and piled up all of the stem and skin and pith trimmings instead and let them ferment.']"
74,Bowmore 10 “Devil’s Cask” ,"[': A dense, regal marriage of dark, reduced sherry, sweet red fruits, and sedate, oily peat.', ': Thin bodied. Drying, and intense as befits nearly 114 proof whisky. The flavor is slightly closed off, but hides a bounty of dried dark berries, balsamic, and peat that tastes more like coal and liquid smoke than actual smoke.', ': Long, lingering and subtle. Leather, resin, and furniture polish. The reduced dregs of a glass of old sherry. The smouldering embers of a fruitwood fire. On the tail end, dark chocolate-covered dried berries.', ': Several drops of water really wake up the alcohol in the nose, revealing more of that oily peat. They also serve to open up the palate, letting out some sticky caramel and bold red wine.', ': This is totally unlike the ‘Darkest’ 15-year, and in fact tastes much older and more concentrated. Instead of the wild, fungal brashness of Darkest, the flavors here are muted but sinewy, slow-moving but powerful. The Devil’s Cask drinks like a much older sherry-monster that has given so much up to the angel’s share that it bottles out at a low cask-strength. That’s amazing considering both its youth, and its high ABV. That justifies the price – if I tasted it blind, I would swear up and down that this was 30 years old and 46% ABV. I could wish that the palate wasn’t so closed off – its one weakness.']"
75,Bowmore 12 ,[]
76,Bowmore 15 “Darkest” ,"[': Wow. Plum sauce, prune juice, and resin. A thick fog of funky, swampy peat, and layers upon layers of fossilized aroma, starting with the tar pits. The fruit is full-bodied but oxidized and, with the peat, comes across as a bubbling ferment of wild, yeasty, compost-y complexity. The aroma is varied and – while not quite muddy – is definitely confused. An intriguing experience. Note that a lengthy rest in the glass – more than 15 minutes – reveals a very intense, meaty caramel note that is worth waiting for.', ': On the thin side. Lots of red-wine tannins, and the initial flavors are of red grape skins, and balsamic. Then, the peat takes over and asserts itself over the sherry with flavor of seaweed, mushroom, and soil. Somewhat two-faced, rather than an integrated whole.', ': Long. The fruit flavors freshen somewhat, becoming very cranberry-like, while the peat remains boggy and earthy. At no point does this make me think of ‘smoke’, although the unfortunate association (totally in my own head, I assure you) of composting (rotting) fruit keeps occurring to me.', ': A few drops of water wake up a little fresh, tart fruit. Cranberries, again. The palate, also, is a little tart-er. The finish is more fully peated, and the peat has more of a vegetal quality. A few drops (only!) aren’t a bad idea.', ': When you think about sherry and peat, you generally think about Highland Park, with its light tickle of citrusy Orkney peat and gently sweet, fruity sherry. This is the opposite of both of those aspects. The sherry is resinous and funky, the peat muddy and vegetative. The combination is alchemical, though, with an otherworldly fungalness… fungitude… fungality… funkiness that brings together the most edgy, concentrated, and ']"
77,Bowmore Legend ,"[': Well-balanced maritime smoke. Slightly citrusy (lemon), with a caramel malt core, and medium levels of peat.', ': Soft, mildly sweet malt. Mineral-flecked seawater, and woodfire smoke.', ': Medium-long. Some charcoal, and quickly-fading peat.', ': A few drops of water increase the apparent peat level, and also bring more lemon oil and something floral – like lavender. The lemon repeats on the palate. Try a few drops of water, but don’t dilute it too much.', ': This is not a malt for peat-freaks. This is a very well-balanced, mildly peated dram for a very respectable price. Often younger, cheaper Islay malts come across as brash, acrid, and bitter. Legend is the opposite of all of these: gentle, sweet, and mildly smoky. It won’t win any awards for potency or complexity, but it scratches the peat itch for under $30 a bottle, and can also serve as a gentle introduction for peat newbies.']"
78,Bowmore Small Batch ,"[': Gentle peat, flecked with refined honey and sweet cream. Banana cream pie, toasted coconut, and vanilla salt-water taffy. Light, sweet, but artfully presented and without any rough edges.', ': More of the same. Vanishing tongue burn, followed by more coconut, vanilla, and lightly salty peat in turns. Elegant, but light.', ': Of medium length, with a bit more toasty oak, roasted nuts, and soft peat smoke. Ends with a touch of malt syrup.', ': A few drops of water seem to only add a caustic edge to the nose tickle and introduce a hint of wet hay. Unnecessary, especially at 40% ABV.', ': While I could have done with a bit more robustness at 46% or so, I applaud both the craftsmanship of this whisky, and its sane price point. Clearly more well-rounded and well-integrated than the cheaper ']"
79,Breaker Bourbon ,"[': Piney, like young rye. Basic corn-forward spirit – not too youthful – with a very mild but also pleasant pineapple note. Shy, and a rest in the glass does not reveal additional aromas.', ': Syrupy/silky body with a moderate tongue burn. Quite sweet, with elements of caramel, nougat, marshmallow, and tropical fruit jam. Very nice, with no rough edges. The texture is unusual, and pleasant.', ': Of medium length. Mild tannins, with leftover tartness from the tropical fruits. Suddenly shy again, fades with only a hint of charcoal bitterness.', ': A few drops of water do the worst possible thing: they wash out what little aroma there was! The palate and finish seem unchanged, except for a slight bump in the already-sufficient level of sweetness. Avoid water with this one, and maybe only use it in cocktails where you want the whiskey to take a back seat.', ': This might be damning with faint praise, but the whisky has no off notes, and nothing objectionable in its makeup. The aroma has a nice (and rare) pineapple note, but is otherwise shy to the point of boredom. The palate is on the sweet side, but without any challenging aspects (charcoal, tannins, heavy wood, etc.) and aside from the typical tongue burn, is quite easy to drink, with a very nice silky (oh God, I’m going to say it… ']"
80,Breaking & Entering Bourbon ,[]
81,Broken Barrel Cask Strength Bourbon ,"[': Strong nose tickle. Piercing notes of spicy ground cinnamon, dried cherries, and butterscotch. Oaky, with resinous notes of aged lumber, sap, and varnish. Fairly dry on the nose – not much sweetness.', ': Silky body. Robust tongue burn which hits immediately. Spicy, with significant rye spice notes of clove, cinnamon, star anise, and maraschino cherry. The sweetness of the corn finally comes through, with a fudgy kind of caramel-and-marshmallow (', ': Medium-long and tannic. A reprise of the aroma notes – dry woods and spices. Evolves a bit of candy corn (honey / corn syrup) and dry cocoa powder before fading.', ': Several drops of water initially mute the aroma, necessitating a rest in the glass. The water adds a good amount of much-needed caramel sweetness and a delectable vanilla buttercream note. The palate burn is also reduced. I HIGHLY recommend adding water to this.', ': This is not a bad cask-strength bourbon. It’s a little on the dry side, but the sweetness does peek through in places where it’s needed for balance. I can’t detect anything specifically different as a result of the added staves, although there is a slight sandalwood-and-chocolate note that I associate with French oak. It is definitely heavily influenced by the rye, with spice-cabinet notes dominating.']"
82,Bruichladdich – The Classic Laddie ,"[': Lightly fruity, with orchard fruits (white peach, crisp plum, yellow apples), golden raisins, and raw honey. Assorted florals – honeysuckle and rose primarily – with an undercurrent of light, nutty, grain-forward malt. A tinge of youth brings both vibrancy and a swath of chemical aromas (not quite acetone). Nose tickle is mild despite the fairly high ABV, and there is a nice balance between sweetness and airiness. A rest in the glass reveals even more fruit.', ': Viscous but not quite syrupy body. A moderate tongue burn – consistent with 50% ABV – is followed by unctuous dripping honey, peach jelly, buttered scones, and more golden raisins. On subsequent tastes, the red wine elements are a little clearer – redder fruits and jammy port wine. Very tasty.', ': Medium long. Delicately sweet, with only a balancing spot of charcoal bitterness. Evolves through light fruits – dried – nondescript florals, and then fades with a note that I can only describe as peach gummy rings.', ': A few drops of water add a creamy marshmallow and vanilla note, which fade quickly after a rest in the glass. The water doesn’t seem to have much effect otherwise. Proofing it down a few more % releases a banana and kiwi note, but makes the palate bland. Water optional with this one.', ': I love the combination of peach, golden raisin, clear crisp malt, and honey. There’s exactly the right amount of sweetness, just enough bitterness to give it contrast, and a few lovely high notes stuck here and there, including that amazing peach gummy flavor. My only complaint is that the vibrancy of young malt is attended by that acetone/paint thinner note, although it’s only present on the aroma. A few of those ex-bourbon casks (likely the refill ones) in the vatting could really have used another couple of years of maturing to polish that off. I look forward to trying a different batch to see what changes.']"
83,Bruichladdich (10 year) – The Laddie Ten ,"[': Restrained peat – mossy and herbal. This is peat that ', ': Somewhat nutty. A little bit on the dry side. Unexpected amount of bitter barrel tannins up front, with a tinge of acrid smoke and wholly absent fruit.', ': Lightly smoky, but the bitter barrel influence continues. Charcoal, menthol, and honey. Fades with some herbal notes.', ': Several drops of water brings some florals to the nose – reminding me of peated Balvenie. The water doesn’t improve the rest of the experience for me, however.', ': The nose on this one is impressive, with very well-integrated fruits and middling amounts of elegant peat. However, this all falls apart on the palate for me, with disjointed notes of bitter wood and acrid smoke. The finish appears short, and while it delivers on the peat aftertaste, there is little else to recommend it. Some people are very into this release, but I have been wholly underwhelmed at both tastings. Ah well, perhaps my sensitivity to bitter tastes has doomed this release for me.']"
84,Bruichladdich Octomore 10 year (4th edition) ,"[': Um. Wow. Fragrant. A ton of lemon verbena, white tea, honeysuckle, and orange peel, plus a ghost of peat infusing all of it with smoke that reminds me more of Chinese tea-smoking than peat. The whole is also sweeter than 11.1, with a lot more brown sugar and a little oak resin. Lovely. This release is also more stable – it appears unchanged after a rest in the glass.', ': Medium bodied. A robust (but not blinding) tongue burn is followed by burnt salted caramel, mild earthy peat, and sweet malty barley with just enough wood to remind you that it’s been aged longer.', ': Long. The peat rolls in like a storm front. Dark, heavy woodsmoke-style peat, with a some of the dark chocolate notes from ', ': Several drops of water wake up an odd pomegranate note (like fresh grenadine), and also bring back some of the fleeting floral notes from the original pour. The palate is a little fruitier, as is the finish, and the licorice note arrives earlier. Definitely try this without water first, and then add a little after it starts to languish in the glass.', ': This is definitely my favorite of the three Octomores that I got to taste. That said, I did miss some of those youthful bright citrus notes that were prevalent in ']"
85,Bruichladdich Octomore 11.1 ,"[': A first whiff reveals cool, clean, citrus-flecked smoke. While the nose tickle is robust enough to keep my nose from going too deep in the glass, the aroma is clearly peated but in an understated, crisp, streamlined kind of way. There’s also sea breeze, lemon and lime zests, shortbread biscuits, and pale but fragrant malt. After a brief rest (and carefully venturing deeper into the glass), I find grapefruit, more lemon-lime soda, and subtle floral notes. The peat is present, but decidedly in the background. Definitely allow the glass to sit and develop, as it changes over time.', ': Lightly syrupy body. A blinding tongue burn, as expected, clears quickly to repeat a lot of the aroma notes, especially the lime and grapefuit. The peat is in the form of earthy campfire with crackling pine needles but, again, is in the background.', ': Very long. Now the peat takes over. Waves of mouth-drying earthy woodsmoke with vague bitter herbal notes – aloe? – continue through the finish, fading slowly along with a final flash of grapefuit.', ': The addition of quite a few drops of water instantly release a delicate rosewater note that was not there before, along with a suggestion of green banana. The palate is a little livelier, but no less powerful. It might also be slightly sweeter. I don’t notice any change on the finish. I highly recommend trying this without water first – brave it! – and then with water to see how it changes for you.', ': An experience. Octomore sears the mouth, but relents and delivers on that light floral fruity spirit that Bruichladdich is so proud of. The peat is heavy on the finish, but never overbearing – you feel like you get your money’s worth without being punched in the face with it. There’s peat, but there’s also room for delicate citrus and florals. Every true whisky lover should probably experience Octomore at least once in their lives, even if they don’t spring for a full bottle of it.']"
86,Bruichladdich Octomore 11.3 ,"[': Wow – so immediately different from ', ': Syrupy body. After a white-hot searing tongue burn, there is black pepper, pickled ginger, brown bread, and sweet barley.', ': Long. The peat now comes rolling in but still not as strong as expected. The peat is dark and earthy and not very smoky. The ginger and black pepper persist, and now there’s an aroma of rich dark earth and extra-dark chocolate. Not bitter. Note that on subsequent sips the peat seems to build up, and then starts to deliver the more classic Islay peat flavors you’d expect. On the tail end, a surprising note of roasted coffee bean.', ': Several drops of water seem to tease out a thread of lime zest that was missing, but otherwise don’t appear to have any effect on the aroma. The palate is a little crisper, with more evident (mostly citrus) fruit. The peat on the finish is also more evident, but it’s also more bitter. This dram seems to benefit from the addition of a little water.', ': In previous editions I preferred the x.3 for its vibrancy and clear conveyance of barley. This time, the grapefuit notes in the 11.1 won me over versus the somewhat muddled chocolate-and-earth notes in 11.3. The peat was also clearer, crisper, and better-integrated in 11.1. It’s good… really good… but if you’re only going to get one edition this year, get the ']"
87,Buffalo Trace Bourbon ,"[': Compared to some bourbons, the nose is wood-forward and tannic – almost vinegary – with sweet caramel notes in the background. Hazelnuts and almonds, turning to vanilla after a few moments of rest in the glass. Dusty spices, mild charcoal, dry cornmeal.', ': Slightly tart, soon turning malty with marshmallow and cocoa nibs. Not cloyingly sweet, but with a fine balance of wood, sugar, and tartness.', ': Warming and of medium length. A reprise of the aroma, predominantly nut skins and smoldering charcoal. Fading with vanilla bean and cinnamon.', ': A few drops of water awaken a familiar “candy corn” note that luckily isn’t too plastic/fake/corn syrupy. On the palate, it retains its flavor but pops a little more. I highly recommend a little water with this one, and you shouldn’t feel bad about dropping in an ice cube once in awhile, either.', ': I like a bourbon that doesn’t make your eyes water with sweetness, but also doesn’t go fully grassy (like ', ' bourbon over ice with bitters and sugar makes me feel like a Southern gentleman in a white suit, rocking away the afternoon on my front porch. Somehow I look like the KFC Colonel in this vignette… but you get the idea. Also, there’s nothing simpler than assembling an Old Fashioned when you can’t be bothered to break out the shaker or strainer.']"
88,Bulleit Bourbon ,[]
89,Bulleit Bourbon (10 year) ,"[': Soft, woody caramel, pine sap, furniture polish, and a hint of maple syrup. Quite dry… with a sawdust quality.', ': Not too hot on the entry. Thin-ish body. Piney, eucalyptus, charcoal, nut skins, root beer. Still dry, but with a better balance than the aroma.', ': Charcoal pervades, with the attendant bitter oaky tannins, but the balance is nice, and there’s just enough fading sweetness to keep it so.', ': A little water perks up the nose, adding rock candy and candied pecans, complete with cinnamon. On the palate, it’s a little more vibrant, and a bit of maraschino cherry has crept in around the edges. I highly recommend a bit of water.', ': Like its younger sibling, Bulleit tastes like its marketing materials describe it – a rough-and-ready frontier whisky. It doesn’t pander with sugary candy notes, but gives you the oak and the alcohol up front and doesn’t much waver from that formula. The extra age has not markedly sweetened, mellowed, or concentrated the bourbon… but has removed many of the ‘acetone’ notes and given it a little softness around the edges and a little better balance on the finish. This presents a conundrum. At $25, the NAS Bulleit is underaged and suitable only for cocktails. At $50, the Bulleit 10 is eminently drinkable neat and makes very nice cocktails, but you could get both of those qualities in something that’s ']"
90,Bulleit Rye ,"[': Pungent! Caraway seed, menthol, eucalyptus, cinnamon (stale), black pepper (fresh), and a hint of cherry.', ': Thin body. A little fiery, and rough around the edges in a “frontier” style. Cinnamon red-hots, pine sap, cinnamon toast (without the raisins). Somewhat dry (not particularly sweet). A little bit vegetal or grassy.', ': Medium-long. Some sweetness emerges in the form of cinnamon saltwater taffy. The pine/eucalyptus is muted now, and the finish is primarily oaky, with a slight bitterness. A ghost of apple skins completes the finish.', ': Several drops of water wake up a nice citrus note (like orange bitters or grapefruit) in the aroma, without compromising the integrity of the flavor. I recommend a few drops of water. Also, this bodes well for Bulleit’s ability to stand up to ice or mixers.', ': A very respectable rye. I like finding those piney/eucalyptus notes in younger ryes, and Bulleit has those in addition to some of the spicy/oaky flavors present in older ryes. I still prefer ']"
91,Bunnahabhain (12 year) (New 46.3% Presentation) ,[]
92,Bunnahabhain (12 year) (Old Presentation) ,[]
93,Bushmills (10 year) Single-Malt Irish Whiskey ,"[': Sharp nose, somewhat acidic (lemony). Some mild tropical fruit notes – green banana, kiwi, coconut – and a slight industrial edge, like Redbreast but less pleasant. Not much depth.', ': Syrupy body, with tons of fresh coconut meat. A downright Piña Colada at first. The flavors fade on the tongue, leaving only that industrial grime note.', ': On the short side. Remnants of coconut oil, charcoal, and something chemical – like glue. Not bitter, exactly, but the aftertaste is off-putting.', ': The addition of water freshens the tropical fruit notes on the nose (which had seemed to fade in the glass), adding perhaps an indistinct floral note or two. Otherwise, it is unchanged.', ': For nearly $50, I highly do not recommend this. It is run-of-the-mill in terms of unique flavors, and very shallow. It has a few Redbreast-like qualities, but without Redbreast’s depth of flavor and intensity. Any oloroso barrels involved in the maturation do not seem to have had an effect on the final product. You would be far, far better spending your money on ']"
94,Bushmills Black Bush Blended Irish Whiskey ,"[': A gentle sherry presence greets the nose – with fresh apple cider, young fruity red wine, and champagne grapes. A hint of cereal grains and bakery goods, like scones, but not overly sweet.', ': Mild and thin. A bit of grape jelly, and more non-sweet baked goods… English muffins? Otherwise, same notes as on the nose. A bit sweeter on the tongue – with more caramel than anticipated. A hint of acetone, but only a hint.', ': Medium-long. The grain is more present here, with a bite of young, medicinal grain alcohol, but that passes quickly and the finish fades pleasantly with grape skins and red wine tannins.', ': A splash of water wakes up more fruit notes, with red currants, unripe figs, and dried cranberries. However, it makes the palate dreadfully thin and watery. At 40% ABV, this hardly requires watering. Note that while Black Bush makes quite nice cocktails and is excellent on the rocks, it does suffer a little from melting ice. Try a large ice cube or a straight-up cocktail rather than something with a lot of water.', ': Black Bush is probably the most successful inexpensive blended whisky on the market that I’ve had, with the sole exception of ']"
95,Bushmills Original Blended Irish Whiskey ,"[': Black pepper, faint dried coconut. Asphalt. Charcoal. Oatmeal.', ': Mildly creamy body, with more black pepper up front, and a suggestion of marshmallow. Pleasant cereal flavors on the tongue, without any depth at all.', ': Some brown sugar and oats on the finish. Very short.', ': This isn’t awful. It’s a simple, single-note dram with no complexity, but not as faulty as others at this price point. The black pepper on the nose is interesting, and the raw grain whiskey doesn’t announce itself on the tongue like other competitors do. While it doesn’t have the brash racy flavor of Jameson, it wins in smoothness and simplicity. Still, I would not buy a bottle of this for the purpose of drinking it neat, and would rather spend the extra $10 to $20 on some inexpensive sipping whisky (starting with the lower-end single malt scotches).']"
96,Canadian Club 100% Rye ,"[': Very soft, nonthreatening grain, with a sweet envelope of vanilla, bubblegum, and honeysuckle. This auspicious start is marred by a flash of acetone (nail polish remover), betraying its youth. ', ': Soft, supple, and creamy body. Quite a bit hotter than I’d expect at 40% ABV. The palate offers more sweet grains and a teasing of jammy fruits, but not much else.', ': Short. Vanilla sweet and floral, with more honeysuckle and some orange blossom. Pleasant and not bitter, but quick.', ': Water might bring a little bit of caramel to the palate, rounding out the sweet flavors and taming a little of the tongue burn, but is otherwise unhelpful. If you don’t like this at first sip, throw in some water to see if it improves.', ': To me, this feels like an attempt to compete with ']"
97,Caol Ila (12 year) ,"[': Wet bog, a dominant peatiness that seems more like wet leaves, humus, and decaying fallen trees than smoke or sea. Very light oakiness underneath, with only a thin layer of malt serving as a vehicle for the peat. Caol Ila has a reputation for being one of the “lightest” examples of Islay peat, but I would say that the peat here is simply less brash and smokey. There’s no denying that the dominant note here is peat.', ': Soft in texture, but with a lot of tongue burn for 43% ABV. The peat is subdued on the palate, revealing instead waves of chocolatey malt and a bit of nutty oak.', ': Medium-Long. The peat becomes almost fruity, with a hint of strawberry jam. Chocolate fudge and hazelnut butter. Tasty.', ': A few drops of water make the peat more pungent, but don’t affect its character. The water might tame the tongue burn somewhat. It certainly doesn’t hurt.', ': The nose is a little off-putting for me, even though I enjoy peat. The muddiness and earthy quality of the peat seems “lower quality” to me than the peat of other Islay distilleries. However, that all changes on the tongue, where the peat gives way to a very tasty chocolate note. This continues through the finish, which has the strangest merging of boggy peat, strawberry jam, and chocolate fudge. Weird, but very satisfying. I would score this higher if the nose were either more clear and refined, or less peaty. Either way, the rest of the experience makes up for it.']"
98,Caol Ila (18 year) ,"[': Smoke-forward vanilla-laden Caol Ila peat, like a fragrant just-snuffed candle. Sandalwood, blanched almonds, and butterscotch pudding. Downright elegant.', ': Medium-weight, almost oily mouthfeel. Sweet upfront (more pudding), with a sedate tongue burn. Sweet wood, pungent peat smoke with herbal notes.', ': Long. Caramel or nougat, charcoal, bitter herbs (like cocktail bitters) that linger for basically ever, along with the remaining wisps of smoke.', ': The addition of a few drops of water seems to initially mute the aroma, requiring a rest in the glass. After, the aroma seems unchanged by the water. The palate might be thinner, and offers slightly more tongue burn. The water adds a menthol note to the finish. I suggest skipping the water with this one.', ': 18 years in oak has not seemed to dull the Caol Ila peat like it does in other Islay malts. That same vanilla-laden peat smoke is accompanied by a greater amount of wood sugars and caramelly (it’s a real word damn you, spellcheck) notes than younger Caol Ilas, and they meld harmoniously. That sandalwood note on the aroma, the vanilla throughout, and the oily mouthfeel are highlights. I could wish for the finish to have a little less of that bitter herb flavor, but it is really a problem easily solved by taking another sip. I could also wish for a push higher in ABV, as 43% is a little lackluster for an 18 year-old release. That said, the price is not outrageous. Depending on exchange rates, it can be had for around $90 to $100, which is what we all USED to pay for 18 year-old single malt scotches.']"
99,Caol Ila (18 year) Unpeated – (Special Release 2017) ,"[': A flurry of fruit (tropical in nature: mango, kiwi, passion fruit), which settles after a rest in the glass into a sedate lemon-lime affair flecked with vanilla and a well-rounded custardy sweetness. A twinge of smoke – not peat! – and delicate florals add interest. Despite the high ABV, the nose tickle is under control.', ': Syrupy body. Oaky upfront, with a sultry layer of mossy (but not smoky) peat. The tongue burn is fierce and numbing, but is accompanied by a fiery note of cinnamon and stonefruit – plum? This subsides into a typical banana-and-vanilla ex-bourbon flavor profile with a pleasant earthy note like freshly-dug garden soil.', ': Medium-long. Faint licorice, some oaky spices (including the cinnamon), and a large helping of somewhat bitter charcoal which obscures the rest of the finish, the only mar in an otherwise excellent dram. Fades with a ghost of menthol.', ': A splash of water adds a tutti-frutti or bubble gum note to the aroma, and melds the fruits into a cohesive sweet dessert-like package. The water thins the body somewhat, and does very little to tame the tongue burn. I think you’d have to aggressively water it down to achieve that. The finish is a little brighter and sweeter – again with the bubble gum. I suggest at least smelling a dram at full-strength before adding any water. Progressively add small amounts of water – allowing each time to meld – until the tongue burn is acceptable to you.', ': Do I lose my blogger cred if I say I like this better than the peated version? Do I have any blogger cred? This has a phenomenal whirl of fruit, a bit of sweetness, a bit of smoke, and robust texture and flavor. I could wish for a little less bitterness on the finish, but the entirety is well worth the price tag (and the experiment of leaving the peat out of a peated classic). It goes well with a splash or two of water. Either way this is a contemplative, multi-layered dram which completely does not make me miss the peat.']"
100,Caol Ila Moch ,"[': Meaty Caol Ila peat wafts from the bottle as soon as it’s opened. Potent, ocean-flecked, smoky peat dominates. An undercurrent of vanilla and light honey balances the peat perfectly.', ': Thin body. Sweet, at first, but the sweetness recedes and peat – now a little ashy – pervades. Bitter barrel char, earthy almost-fungal peat, a hint of tobacco leaf, and campfire smoke are the main flavors.', ': Long. Many of the flavors drop away, leaving wood smoke and a tingle of menthol and a dollop of black licorice.', ': A few drops of water initially mute the aroma. Give it some time in the glass. Even after it comes back, though, the water doesn’t seem to add anything. I wouldn’t suggest water with this dram.', ': I mean, it’s definitely Caol Ila. The youth comes through in some slightly-too-ashy and slightly-too-vegetal notes here and there, but I’ve always thought that peated drams benefit from a little youth. Still, I drink this and can’t help but miss some of the more polished elements of the older 12 year. If this were substantially cheaper than the 12 year I could call it a good value… but it seems the prices are similar.']"
101,Cardhu (12 year) ,[]
